comuna,region,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote,Número de habitantes
Chile Chico,Región de Aysén del Gral.Ibañez del Campo,6.852429042298844,6.5326063686434885,6.641592201069511,6.752964291372174,1.2375401469524099,0.019198656786210477,0.08171275572987324,0.06359996410237667,4865
Tortel,Región de Aysén del Gral.Ibañez del Campo,8.101603530982223,7.826488051738279,7.828591929797277,7.90719019896018,0.0047106863747695,0.007690710909689521,0.032826802918582886,0.02554431447906311,523
Mostazal,Región del Libertador Bernardo O'Higgins,4.768124568029058,9.507697263136114,9.5736750825855,9.553590437207674,0.23596932406405272,0.5518813436836588,0.5518813436836588,0.5543455743095032,25343
Chillán Viejo,Región de Ñuble,40.70726630442761,29.20718828912365,32.95266079096513,29.455351986380588,1.586259219765514,1.3914934172207079,1.4939332674985604,1.391568576430697,30907
San José de Maipo,Región Metropolitana de Santiago,1.8873986359247485,2.6146531491435367,2.6430706868529565,2.6229944917928347,0.6391301116395296,0.7359523853407647,0.7359523853407647,0.7364982481609582,18189
O'Higgins,Región de Aysén del Gral.Ibañez del Campo,5.995006178771971,5.710228223383831,5.701785098186753,5.785015841339507,0.0014467979969934577,0.0022141555849079677,0.009224157321238432,0.007193227083821189,625
Curanilahue,Región del Bío-Bío,13.535606488921825,14.065756580975373,16.844916721891973,14.619257190535116,1.3245544332838053,0.6673823129713932,0.9955502103937484,0.6722127131703286,32288
Coihueco,Región de Ñuble,7.278018917839205,5.6930610914283974,6.834130769730376,5.760887887478745,1.8237611670424452,0.9967708787540521,1.3607594930558462,0.9975389837069049,26881
Cochamó,Región de Los Lagos,8.01079177129041,6.801382561603928,7.361387581935697,7.354737775828232,0.19062510937936317,0.00018443608074542885,0.00029183242964493384,0.0002549688602187404,4023
Collipulli,Región de La Araucanía,13.21199471240247,9.574527658597589,15.224288745295295,10.99569979928048,1.9835671070240601,1.1660904050088439,2.7005406074214906,1.5498096639641377,24598
San Clemente,Región del Maule,3.8248453446641886,2.792393799269706,3.230166980604447,2.8720523640278603,0.7132252276205513,0.1988023770006536,0.3402001699414676,0.22701457046541,43269
La Unión,Región de Los Ríos,22.196633703457714,12.60760248333078,15.530981417463533,17.525019377264083,5.130018054876154,0.6435371731223412,1.1387430362910629,1.3973751689732161,38036
La Estrella,Región del Libertador Bernardo O'Higgins,8.677231702018966,6.335847693212864,7.367620974655727,6.513551424815477,0.056878649079434206,0.04182971597398453,0.06163143848926897,0.04368484701253698,3041
San Antonio,Región de Valparaíso,10.51185781316128,9.07719388554825,9.53537543976224,9.17500388995889,0.16425264038391196,0.030793661377797116,0.03148176361786816,0.030841919271381742,91350
Paredones,Región del Libertador Bernardo O'Higgins,8.750186445438963,6.406239814905943,7.86744882092118,6.633857446007854,0.08742835345732672,0.04786002283219918,0.08396488822608181,0.05057009858831449,6188
Pumanque,Región del Libertador Bernardo O'Higgins,8.551459834544904,6.12748139354011,7.6830942599033865,6.356345647602643,0.03835611940653696,0.04852694747633167,0.07962148518815068,0.050909165122568815,3421
Pinto,Región de Ñuble,5.667923591775652,4.859609496881804,5.6553195243964876,4.911105398891895,0.91808586474399,0.4745129681646372,0.6402647952854219,0.47453663123929757,10827
Dalcahue,Región de Los Lagos,16.8165045099086,12.592581518287025,16.696765614299462,15.531014680670847,1.9020776046957537,0.4907815729027014,2.477468277481094,1.7955543347563558,13762
Chaitén,Región de Los Lagos,9.018913255121342,7.764870868262614,8.255093753624292,8.221887567982463,0.40948385958785083,0.020038249698550756,0.08739433949324871,0.0667832828576911,5071
San Nicolás,Región de Ñuble,33.1645093738152,27.458742795790176,31.00183186251178,27.76857410217096,1.8320756483259937,2.2247768281373705,2.3226650767137955,2.2254577905898314,11603
Panguipulli,Región de Los Ríos,12.091145097200807,9.079886678790201,13.655462151085521,11.779795798693135,4.758182766874448,1.9778324732968664,4.765850897800053,3.919680071970389,34539
Río Claro,Región del Maule,8.659162903823427,4.030875434824974,5.105798134126283,4.224256336229657,0.23561282465228656,0.0657596511881637,0.1274606659305919,0.07507364719815443,13906
Fresia,Región de Los Lagos,18.680799779369508,12.220694047172904,16.783207993054205,16.449872319376105,1.5463970551702901,0.3361154063104137,1.6956059897306575,1.229142818037477,12261
Freire,Región de La Araucanía,38.12621670039897,17.251571472550854,24.987692825711513,21.39816605202331,2.2448039280658034,1.6845138685014438,2.800506409804729,2.2902621823011553,24606
María Pinto,Región Metropolitana de Santiago,9.785987891687464,15.231316916570597,15.49622829613357,15.291609862475847,0.1450728111495019,0.2425276656214295,0.2425276656214295,0.2425276656214295,13590
Linares,Región del Maule,8.780152024982936,5.97423445944747,8.091388536166397,6.214116333338735,1.1608015029561913,0.34182363364880847,0.8400607704968872,0.39077795738791693,93602
