hora,region,concentracion_ref,concentracion_comuna,concentracion_comb,concentracion_rebote,emision_ref,emision_comuna,emision_comb,emision_rebote
8,Región de Los Ríos,20.169653745049636,16.64157273877441,11.781356431358967,16.545181160893687,2.0042036362482376,1.2013364668308797,0.6083857219236614,1.2988875993711004
8,Región de Magallanes y Antártica Chilena,7.0523903350941985,6.685501516383804,6.724740425773592,6.7526352932405125,0.001309869513238376,0.0,0.0,0.0
8,Región de Valparaíso,4.892831967558161,4.418163951198979,4.283971030523475,4.312513255289503,0.28807415058960456,0.05938748986361017,0.05860821692652086,0.058662940424239834
8,Región de Ñuble,18.928445418973915,16.028634874427265,12.985110907692103,13.242099681981117,1.5782846356368287,1.101894245206019,0.8671663062409865,0.8691654608653532
8,Región del Bío-Bío,14.701972966562789,14.668618864885492,11.418746532385052,12.026125526386242,1.9468331053289214,1.3721978153759278,0.9678345088540459,0.9966085011182679
8,Región del Libertador Bernardo O'Higgins,7.698418201352428,7.455018562805869,6.671470629298286,6.833689394852872,0.3467593026686965,0.25078681513240525,0.21183759211307523,0.22020006313739166
8,Región del Maule,9.15473555614367,7.998051857324028,6.04543902720619,6.33216592197182,0.7507725922961785,0.5420147592012128,0.265754478393863,0.30103351999646016
9,Región Metropolitana de Santiago,15.382213652735002,14.243835298014435,14.124206704871568,14.162688112702435,1.527963959782703,0.9597408110174999,0.9588713026586972,0.9595866841886295
9,Región de Aysén del Gral.Ibañez del Campo,9.167757463160546,8.372042352106394,8.165299792612961,8.87369399058357,1.7403366369927928,0.4159273204900933,0.27447542030119604,0.9147605714817667
9,Región de Coquimbo,1.586003580287631,1.3912286226233204,1.3634747420422113,1.3694511534242582,0.0169069625523243,0.0005791947470382459,0.0005791947470382459,0.0005791947470382459
9,Región de La Araucanía,20.71622840652194,21.30632187909443,13.289642388732812,16.29961726071783,4.771386130458735,4.134825322424474,2.05843494264782,2.8346303868576777
9,Región de Los Lagos,17.28088558297218,13.078102883596333,10.303672317613634,13.956525995937021,4.645857756383474,2.240114439368873,0.6661927604834932,2.4316004054160296
9,Región de Los Ríos,21.522849710218193,17.63639463823312,12.285650860206418,17.554904139899122,2.540286134178172,1.4329610934948116,0.7590500012533666,1.6190549946854806
9,Región de Magallanes y Antártica Chilena,7.053397796039163,6.665521612700523,6.7037994015075135,6.731847989880725,0.0014712302456123395,0.0,0.0,0.0
9,Región de Valparaíso,5.185220672205785,4.527291262019487,4.396077986720568,4.423940750189088,0.32274064853503837,0.06650478125940443,0.06562951133588645,0.06569097611595111
9,Región de Ñuble,21.20254758821664,17.62748399325721,14.262488498682922,14.521253349229912,1.772535593964501,1.2376196997978102,0.9739687190135076,0.9762141405401134
9,Región del Bío-Bío,15.815909789030519,15.564123593834474,12.02633063148318,12.653666776787825,2.283473103939177,1.6186202724608225,1.144440180707727,1.1777459301220594
9,Región del Libertador Bernardo O'Higgins,8.131279263370779,7.76615071775547,6.926717864894256,7.098997167269851,0.38873346754849863,0.28153255406037847,0.2377854014767012,0.24717801022526814
9,Región del Maule,9.67408906257193,8.363092553258099,6.2195835990243635,6.531336158685675,0.8424184562668695,0.6086155628268239,0.29834514256962835,0.33796799981751596
