day,comuna,region,avg_emision_ref,stddev_emision_ref,avg_emision_comb,stddev_emision_comb,avg_emision_comuna,stddev_emision_comuna,avg_emision_rebote,stddev_emision_rebote,avg_concentracion_ref,stddev_concentracion_ref,avg_concentracion_comb,stddev_concentracion_comb,avg_concentracion_comuna,stddev_concentracion_comuna,avg_concentracion_rebote,stddev_concentracion_rebote
7,Rauco,Región del Maule,0.14208413245029666,0.002084405054763983,0.07975571991536162,0.0011745817145715532,0.1311707404988839,0.0019331965353947165,0.09010477384006055,0.0013272058735835503,11.62167998192487,2.8100271642907737,5.535672838220626,0.968283419225734,7.233168402814571,1.4126770135810014,5.862460123830371,1.040965608399466
3,Recoleta,Región Metropolitana de Santiago,0.1054375160608097,0.0016346626006552292,0.031754749988510564,0.0004923133502558731,0.031754749988510564,0.0004923133502558731,0.031754749988510564,0.0004923133502558731,33.50137214839849,8.372182375912798,29.90494993699142,8.899758693196022,29.97344678523494,8.89082620334631,29.922235851194344,8.895691373164802
2,Recoleta,Región Metropolitana de Santiago,0.10491043726593345,0.0014874427817079244,0.03175600821322793,0.0004687698781598224,0.03175600821322793,0.0004687698781598224,0.03175600821322793,0.0004687698781598224,30.69220407527906,7.703620067371408,26.98149936986558,8.034416624624079,27.03366944819321,8.027657015329245,26.993891172203014,8.032421794332842
5,Recoleta,Región Metropolitana de Santiago,0.09994570020915394,0.0014775891896678646,0.030709487624170376,0.0004540066281176096,0.030709487624170376,0.0004540066281176096,0.030709487624170376,0.0004540066281176096,36.70656451500125,8.934735326455971,33.6149593492349,9.622563880248734,33.66635009232495,9.621312810014949,33.62737390978469,9.625353136718656
7,Recoleta,Región Metropolitana de Santiago,0.10320339743233478,0.0015014727289697533,0.031564463071919804,0.0004630947587126033,0.031564463071919804,0.0004630947587126033,0.031564463071919804,0.0004630947587126033,31.930089445025832,7.1288255056606245,28.474054243093658,7.2793021050029445,28.544111611666505,7.271437024175261,28.492592639393276,7.2760404596442045
6,Recoleta,Región Metropolitana de Santiago,0.10387181959877319,0.0015025665902989986,0.03145346479421933,0.0004503768913050257,0.03145346479421933,0.0004503768913050257,0.03145346479421933,0.0004503768913050257,34.20407102037879,7.544499496573824,30.75844743828368,8.957002592719913,30.839439304825525,8.937017099517405,30.777595390681345,8.95099124638245
1,Recoleta,Región Metropolitana de Santiago,0.10135815988165102,0.0013198739163245772,0.030864763918014886,0.0004019154688465125,0.030864763918014886,0.0004019154688465125,0.030864763918014886,0.0004019154688465125,32.193745433115495,7.271415875164262,28.315393612275713,6.59573422574325,28.374098378069263,6.615523915813521,28.330757828319776,6.6017678144401915
4,Recoleta,Región Metropolitana de Santiago,0.10248488988282475,0.0014714320181539097,0.03105412238391485,0.0004445627634805252,0.03105412238391485,0.0004445627634805252,0.03105412238391485,0.0004445627634805252,35.36335034541834,8.335132898843623,31.446761153881848,8.991509698719808,31.522948931245242,8.980403161737081,31.464392081584805,8.989016428058159
1,Renaico,Región de La Araucanía,0.9012996124159456,0.01173656293437928,0.40933376180489717,0.005331206023648371,0.8553019212945402,0.01113947012927049,0.507691390256564,0.006612177861003598,30.21338960680307,7.250936317013936,16.196332168848805,3.0489461424187674,26.50435249298406,6.287397139236871,18.83481062068119,3.7924733887428856
2,Renaico,Región de La Araucanía,0.9232054519030009,0.01398637021119571,0.41997036394859016,0.006370881084473103,0.8768715030381221,0.013275498071490557,0.5208111740503685,0.007897261764672734,31.813999896613286,6.639206536266968,16.979793942416155,2.970421655781943,28.012971479261026,5.8371465484620195,19.659744162861777,3.6777232630765004
