comuna,region,concentracion_ref,concentracion_comuna,concentracion_comb,concentracion_rebote,emision_ref,emision_comuna,emision_comb,emision_rebote
Linares,Región del Maule,8.780152024982938,8.091388536166395,5.97423445944747,6.214116333338735,1.1608015029561916,0.8400607704968872,0.3418236336488084,0.3907779573879169
Futrono,Región de Los Ríos,9.81119290946198,10.551524176110876,7.971188786593384,9.830874431125487,2.0167905165742064,1.4299845139310285,0.5926819387968644,1.2517150789500604
Curicó,Región del Maule,5.855184561506348,5.448168733501235,4.741556261374625,4.894878328162408,0.42898700623191743,0.4021830157126285,0.24434638792949653,0.27804924213031407
Traiguén,Región de La Araucanía,25.407883770293086,22.998313112018117,13.573693796581258,16.57917418849713,1.8239009149475183,2.2117395681043583,0.9268447993682748,1.2597427269853647
San Nicolás,Región de Ñuble,33.16450937381519,31.001831862511782,27.458742795790172,27.768574102170962,1.8320756483259935,2.322665076713795,2.224776828137371,2.225457790589832
Chillán,Región de Ñuble,47.52924609371485,29.746091792571868,26.24571155862945,26.487138391126113,6.193044521748873,1.808174031079649,1.6429519079377641,1.643277675786512
Vilcún,Región de La Araucanía,14.048033497228898,16.128539442177868,11.001586365338039,13.163127275741916,2.3759044906708886,3.431833063391156,2.1128371512928514,2.872167257652052
Florida,Región del Bío-Bío,17.1697228452414,23.850925486660902,19.026419053435017,19.56828631188723,0.45256380862772805,1.6718461638540323,1.3265931227455405,1.326664940720491
Papudo,Región de Valparaíso,5.992698305785826,4.07638747921463,3.864828579616004,3.9135652140356028,0.01300510222089622,0.00013291974351860989,0.00013291974351860989,0.00013291974351860989
Toltén,Región de La Araucanía,24.098032295658317,21.714111004949803,14.62483054310934,18.24629725295059,1.1276400816246834,1.0286587825026443,0.42889334381445643,0.6568035134048298
Pinto,Región de Ñuble,5.667923591775651,5.655319524396488,4.859609496881806,4.911105398891895,0.91808586474399,0.6402647952854219,0.4745129681646371,0.4745366312392975
Vichuquén,Región del Maule,8.569663691676183,8.191955360834294,6.753656295336387,6.995357070672483,0.07050740312762885,0.06117642121764834,0.029213665030974636,0.03208282944177245
San Javier,Región del Maule,12.865204760486254,11.384892832874232,8.28347169685652,8.759531904660609,0.5726260563285865,0.4411146365655911,0.24585546532937305,0.2808181123207835
Coyhaique,Región de Aysén del Gral.Ibañez del Campo,13.187324321285127,9.78177271321615,9.677485009985409,13.415504314810512,15.678564271275938,3.2005479856351386,3.1970755134861277,10.655926169801418
Santa Bárbara,Región del Bío-Bío,6.463804090515893,6.875232626193899,5.703323523293629,5.800440539471488,0.6459710595434782,0.5638959188371949,0.3799803971707251,0.3812892955769369
San José de Maipo,Región Metropolitana de Santiago,1.8873986359247485,2.6430706868529565,2.6146531491435363,2.6229944917928343,0.6391301116395295,0.7359523853407648,0.7359523853407648,0.7364982481609582
Cochrane,Región de Aysén del Gral.Ibañez del Campo,6.986406587969783,7.50424950739646,6.900670214691166,7.43506299163205,1.3436521717842556,1.1968086316431596,0.2792351243230993,0.9309587496680807
Quellón,Región de Los Lagos,14.253681229846157,13.733831273484494,12.026314758198174,13.29156034949751,2.1771795238283174,2.062881386242581,0.40854142838921925,1.4950499943247932
Freire,Región de La Araucanía,38.12621670039897,24.987692825711505,17.25157147255085,21.398166052023306,2.2448039280658034,2.800506409804729,1.6845138685014438,2.2902621823011553
Machalí,Región del Libertador Bernardo O'Higgins,2.3001444658440238,3.33338517439467,3.288551302768429,3.3134358017592302,0.3091623121105735,0.17843473119119196,0.1784274592947789,0.18500030981130688
Puerto Varas,Región de Los Lagos,11.43822876652987,9.257909195884865,7.85111465206078,9.23562631084642,2.9649861896455523,0.9970543579667913,0.2011480190292689,0.724667923093771
Lolol,Región del Libertador Bernardo O'Higgins,8.741866229614724,7.4644334202924805,5.856869138533595,6.105305216469974,0.09004487650175069,0.11280951462502233,0.0635427062348599,0.06767946120573705
Máfil,Región de Los Ríos,25.105196727406486,21.25307110860814,14.226700687417647,19.95361157696405,1.158039979857244,1.1496740747595595,0.54298878972592,1.1314398739565181
Guaitecas,Región de Aysén del Gral.Ibañez del Campo,12.748840392516374,11.740703942151065,11.273062930636073,11.70242714079847,5.1617013858047235e-05,8.056721757367752e-05,2.0938471597487748e-05,6.284423290546755e-05
Chonchi,Región de Los Lagos,16.0242045117057,15.969216504431548,12.391559508166932,14.913685816165899,1.7357736818055027,2.608458067944768,0.516749504649988,1.890495115444211
Zapallar,Región de Valparaíso,5.911201371939524,4.215910690184527,4.005391996924087,4.053795274344595,0.027756806312330216,0.00028728018593675997,0.00028728018593675997,0.00028728018593675997
Antuco,Región del Bío-Bío,3.6548555248381303,4.276959768309901,3.8459450929008847,3.884694541714082,0.34196492831473013,0.43162915210731945,0.29252157419401476,0.2925346135205731
San Fabián,Región de Ñuble,3.448738115902892,3.603059728609354,3.193007139636106,3.2431260377677886,0.2517298530058441,0.15193376184786167,0.09312788928864842,0.09573354308840941
Hualqui,Región del Bío-Bío,20.560378830658728,21.045501063998273,17.369438710980063,17.967290260576842,0.8161703406921655,0.8530836410804865,0.7268448727721479,0.7268789833204478
Padre Las Casas,Región de La Araucanía,58.15784497877996,32.08550435138748,24.985693280439467,31.547112971850137,10.712511214558509,3.15965386913456,2.7054548784315537,3.6773187440237596
Pelarco,Región del Maule,11.298187193051495,6.2594391056584815,4.814909957588082,5.0854147135256795,0.17432344524109566,0.10180285260470327,0.06507619792640607,0.0742976495629545
Cunco,Región de La Araucanía,9.57306432171486,13.242960976099528,8.737714388469769,10.11332366008115,1.542695058699845,2.9413479719552313,1.2589220138704147,1.711706771469199
Lautaro,Región de La Araucanía,25.280228276356127,21.588528733089102,14.25902030300086,17.60132950196663,2.444141072730557,2.6084613726874513,1.5715866874781257,2.1364090643476885
Río Bueno,Región de Los Ríos,17.278095037935724,12.288970326947851,9.578306296242175,13.984969536030999,3.769844639596656,1.2106568989012967,0.536452665590014,1.8295425100187568
Los Andes,Región de Valparaíso,1.185112794986847,1.575505450271603,1.552749670090859,1.5583936653336379,0.19012681036205054,0.10504119913372686,0.10504119913372686,0.10504119913372686
Corral,Región de Los Ríos,21.37267591411895,18.98717476366146,16.03328872129522,23.25552856521018,0.6440689558722854,1.1432251866797365,1.0151293833045565,2.143276477873875
San Juan de la Costa,Región de Los Lagos,17.748396259007972,15.569610459206833,13.464841354797906,21.044470465667548,1.2784345612608932,0.8856118198071571,0.7114182533477158,2.5978405778522324
Colina,Región Metropolitana de Santiago,8.272997365386889,8.639500576690837,8.58593113554508,8.599018422616194,2.6103256380444786,1.3953618150502125,1.3953618150502125,1.3953618150502125
Puente Alto,Región Metropolitana de Santiago,24.723970620303646,20.259381386223765,20.1994958879132,20.21465759818055,0.28014325888452973,0.10530690869418102,0.10530690869418102,0.10530723834334159
Santa Juana,Región del Bío-Bío,15.314553463746849,17.700849163591272,14.120186748725823,14.794391196727158,0.563542138020651,0.9991448804606694,0.7782442468325864,0.7790004569096741
Talcahuano,Región del Bío-Bío,37.13479809700745,22.376012252202003,20.284549774642894,20.68550531293034,1.3348128275003133,0.26934192976874805,0.25676903292728437,0.25678008843568945
San Fernando,Región del Libertador Bernardo O'Higgins,3.0446458391008293,3.6156009680406203,3.4861817509035227,3.5361949957840277,0.3216657685371605,0.2442068064776486,0.2170690693642852,0.22840590050130186
Curacaví,Región Metropolitana de Santiago,7.846586364844761,15.688146397524964,15.501076452811795,15.54435060348161,0.5371607950031507,0.8310305820370876,0.8310305820370876,0.8310305820370876
Villarrica,Región de La Araucanía,17.067607759761888,22.69025423365024,12.979447173870154,16.327003788499834,5.480392851003344,6.005957851454144,2.5061648496624436,3.6374638136031514
Sagrada Familia,Región del Maule,13.982861942949567,7.143979146888179,5.457957158785523,5.767728107456569,0.21014730174665922,0.12795379315465027,0.07416103204570078,0.0844689096047242
Cauquenes,Región del Maule,11.875007100708274,13.44562467282177,10.27539319590927,10.69456529228752,0.8003704248566287,0.8863929154187876,0.4269600525970479,0.46425830491376724
Nueva Imperial,Región de La Araucanía,31.83194768382426,22.640763584282105,15.376897621804924,19.07839969258242,2.14636439333192,1.3442417040818793,0.7287882577583702,0.9905510294520053
Parral,Región del Maule,11.782724066810447,8.520408900837973,6.051186348750814,6.3224992818747285,0.8096472976403911,0.7477138094686862,0.3110418740323603,0.35306130241586614
Petorca,Región de Valparaíso,1.4424262559648868,1.4616543888765205,1.4212846176326217,1.4300663913164844,0.03259092434068911,0.00019744326328203715,0.00019744326328203715,0.00019744326328203715
Malloa,Región del Libertador Bernardo O'Higgins,7.654778842167043,6.126832340703995,5.877079209453154,6.0172327170035596,0.16927621689225664,0.0838435288310491,0.0803327426278082,0.08416589133663563
Chanco,Región del Maule,9.389079236656936,10.936570378199983,8.824794763529782,9.195351588968029,0.16485191477353858,0.15949216280298464,0.06622159969022293,0.07518393884003925
Buin,Región Metropolitana de Santiago,36.54654117745382,17.07768700127703,16.985475651049793,17.021641168118432,1.5407811931587083,0.543758783916511,0.543758783916511,0.5440125978306778
Gorbea,Región de La Araucanía,29.02011460549135,25.599790525057166,15.982636281018722,19.84264707840623,1.69350622531822,1.8203795886999816,0.7603104735308645,1.0471981903678989
Yumbel,Región del Bío-Bío,21.21835156099306,20.323961683563645,15.189208350610265,15.88114101999739,0.6771955680158063,1.0650392590227304,0.7554517533861067,0.7554947534075687
