region,date,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote
Región del Libertador Bernardo O'Higgins,2015-06-08,7.0426694446428275,5.617727128546641,6.176423887585298,5.728806384509616,6.256997610731595,3.819004123988043,4.520417296167077,3.9696311475145056
Región de Aysén del Gral.Ibañez del Campo,2015-08-10,7.615112521176955,6.805734483101263,7.14516210898963,7.352524585296315,27.03977067617651,4.2665299849078036,6.461411671217951,14.20215790740552
Región de Los Lagos,2015-07-27,15.188812876886878,10.101545669359327,11.812343744655609,12.52294457829884,75.4308074356227,10.616821045853989,35.32071031067589,38.699804443983275
Región de La Araucanía,2015-05-18,21.59302599360711,13.912883711319497,23.13744240663574,17.393403662462806,74.83177807140629,32.144168884559036,64.5877199862306,44.25087682310577
Región de Aysén del Gral.Ibañez del Campo,2015-08-20,6.14522566151223,5.574461517406965,5.799789886448593,6.205872113213864,26.343213047509973,4.158949655011424,6.297895314771407,13.841735451546619
Región de Aysén del Gral.Ibañez del Campo,2015-06-20,7.343647271480975,5.972882678614846,6.372669540797887,6.819372732638126,27.956160445721267,4.406707192869434,6.681094475465909,14.701315444101983
Región de Aysén del Gral.Ibañez del Campo,2015-07-16,8.526891840870361,7.690993096498043,7.9421530574914705,8.323994118702474,26.343212688273173,4.158949653849703,6.297895313609685,13.841735450384906
Región de Aysén del Gral.Ibañez del Campo,2015-08-22,12.04015690977365,11.239979912321806,11.358674153877146,11.434416468212095,27.05434883603309,4.264555357553846,6.465575308743251,14.227079436061446
Región del Maule,2015-05-02,6.477253657363819,3.8175672325876864,5.362233635061528,4.049916489157361,13.124708254750894,4.63927461328391,9.467704293940292,5.25575928131349
Región de La Araucanía,2015-07-24,16.155165851792106,9.796455431398606,15.695454273775429,12.03612761067579,74.30275517088558,31.86293147977388,64.09137805430683,43.88013948290274
Región del Maule,2015-07-11,7.83620484859052,6.009927135898883,7.022339666091113,6.157962470583831,13.124708197074737,4.639275010981877,9.467705055730276,5.255759707552418
Región de Los Lagos,2015-08-20,14.33788905147212,8.27539097825417,10.755495262143569,11.476363651452383,73.49567892727877,10.347589906213546,34.4226032859896,37.71658896492439
Región del Bío-Bío,2015-07-30,10.164605930495485,8.206118737483287,9.917608445141923,8.572776116842045,35.22499895704208,17.7336794477767,25.046799076534157,18.244987867127936
Región del Maule,2015-07-14,8.122905445996873,6.368582904164878,7.059963294703976,6.5194186843589685,13.064961093415901,4.62429296328097,9.426958791622056,5.23766925120103
Región de Los Lagos,2015-08-21,13.598020680333306,7.814363969832012,10.236941441239967,10.857907688676649,74.83744614470737,10.506007000055305,35.040999524055024,38.38836585276284
Región del Maule,2015-08-12,10.979081532449,7.048024092936077,9.010893551440846,7.331290452719586,12.823260551089227,4.537133007865538,9.251688910947301,5.1392180071207125
Región de Los Lagos,2015-07-10,15.554532919738334,9.512257253639797,11.828407692189511,12.936965397689146,74.8374461351305,10.506006995246464,35.04099951924621,38.388365847954034
Región de La Araucanía,2015-05-26,20.150915562277206,11.400156055728637,20.026217535251124,14.79471879917543,74.66206440491486,32.04967234037675,64.41614355138468,44.1248799654464
Región de Aysén del Gral.Ibañez del Campo,2015-05-04,9.590794879793245,8.770745065060053,8.866665720171087,9.304547129916855,27.03977069674254,4.266529984108283,6.461411670418429,14.202157906605981
Región del Bío-Bío,2015-06-19,13.607485264614828,9.46667653966102,14.131376361367112,10.534157974479745,37.122326380121,18.650964632542742,26.354977308787547,19.188338939882602
Región de Los Lagos,2015-05-23,18.29696682881434,11.429039170762394,14.202409690906617,15.448897083216627,75.51726775591582,10.607253978811336,35.377188622363285,38.757630317633364
Región del Maule,2015-06-29,11.837089417013189,6.875027620872515,9.713235223438666,7.331383769415657,13.523725003986513,4.792246288477035,9.766689336744204,5.427632033347918
Región de Los Ríos,2015-08-13,18.17959312498146,11.585935294698409,13.19328513462297,13.680444784716125,40.530962024340774,12.037181503888972,22.284310446303554,25.64941518998489
Región del Bío-Bío,2015-06-15,14.986201719692778,11.894693766497547,14.467309161185124,12.56343839248418,37.30224947348887,18.78675311767764,26.530754888719386,19.328482539068787
Región de Los Lagos,2015-05-31,14.892460736982999,8.118633086522244,11.287371131228952,11.5145637958011,73.76199499244977,10.366504961515123,34.554338821573175,37.856908412929435
Región de La Araucanía,2015-05-08,18.84524872937498,10.739559772298241,14.650244029130135,12.693726894557082,74.30278389884523,31.86293148686426,64.09137806139722,43.88013948999315
Región de Aysén del Gral.Ibañez del Campo,2015-06-03,8.23188168653897,7.604079505276876,7.80280470800539,8.193828411839801,27.330628852937267,4.311199145312859,6.532193996356752,14.364767250731184
Región del Maule,2015-07-12,8.143535904171847,5.920870709486592,6.983962399267466,6.131638341259531,12.819675792074104,4.532860620754454,9.247354935026928,5.13485937956076
Región del Bío-Bío,2015-06-27,16.12413653879132,11.444181704567388,15.292336310464037,12.269037011113292,37.507239698073576,18.82977555877205,26.607562323220805,19.37229324340959
Región de Aysén del Gral.Ibañez del Campo,2015-08-19,6.303473537774743,6.158615963078748,6.319109621699777,6.825893042423251,26.448995281231852,4.172128201911577,6.321478054649617,13.901387701432013
Región de Aysén del Gral.Ibañez del Campo,2015-05-11,5.159075830426774,3.7930378422014415,2.881656659361041,4.725420503547575,27.03977069878683,4.266529985719901,6.461411672030051,14.2021579082176
Región de Valparaíso,2015-08-01,4.389368734403859,3.376552707964898,3.457221081161693,3.3913805500761303,5.043079546277738,1.0233353106930316,1.0369552728388336,1.0242915395292005
Región de Aysén del Gral.Ibañez del Campo,2015-07-03,6.399731499110488,5.569912989867457,5.903073941951106,6.204215187981168,26.82031138907935,4.222846394128966,6.403084355758855,14.090550500828451
Región de Los Lagos,2015-08-25,13.587337118378947,9.378695041727601,10.78002024609559,11.272392784139916,75.2141237129081,10.580959296291594,35.22490851691589,38.593509016061915
Región del Maule,2015-08-27,8.21179602988163,6.177828688510874,7.411272473774961,6.394184092708287,12.745701805037077,4.5184480414644606,9.209646474329112,5.117692694462963
Región del Libertador Bernardo O'Higgins,2015-06-10,7.387058302882842,5.524618730227285,6.335910994682557,5.661122415888187,6.122765445991091,3.737563781163477,4.424467231143553,3.8850409181634205
Región de Los Lagos,2015-07-25,12.734104211855216,6.752471862091946,9.031647445268877,9.47821250925339,75.5172677619135,10.607373096371084,35.37778946181194,38.758065862919295
Región de Aysén del Gral.Ibañez del Campo,2015-05-29,10.711671136883242,9.106729704861209,9.438369613026898,10.213597959701813,26.820311200594674,4.222846393471846,6.403084355101732,14.090550500171332
Región de Ñuble,2015-05-05,21.144923778495773,12.953944727127597,16.843200493704096,13.352841963064522,27.43907984680614,15.081681810936619,19.162678223274895,15.116555330889078
Región de Valparaíso,2015-05-02,4.186536097947611,3.224625771737449,3.3993442830598415,3.236250158324605,5.043079554133109,1.0233353311159883,1.0369552932617905,1.0242915599521576
Región de La Araucanía,2015-07-31,12.58284610718101,7.815311081187736,11.347722411923394,9.101688021942332,74.3027838937471,31.862931486152586,64.09137806068559,43.880139489281476
Región de Los Lagos,2015-07-17,13.052704662545786,8.617433571415585,10.478694015362596,10.554670004828893,74.83744576467414,10.506001458361425,35.04097587011708,38.38834810460601
Región de Ñuble,2015-07-16,17.599931000040808,11.467020413012717,13.803833253680908,11.59334037775154,26.7928061420809,14.739505027241012,18.72577181425162,14.77378758496654
Región del Bío-Bío,2015-06-18,12.96172176733508,9.403817819441274,13.321232128809806,10.641134665084591,36.399165440643145,18.324802028653078,25.881692346360225,18.85315407827093
Región de Los Lagos,2015-06-30,14.287751820176142,9.526697263552203,11.359998715116994,11.983786011911695,77.72126118643878,10.933657952001607,36.39907209990856,39.87995933223912
Región del Libertador Bernardo O'Higgins,2015-08-07,6.294476846304751,6.238805025461443,6.63692932121568,6.318799900285676,6.006161003909465,3.665750214106908,4.34005863851271,3.810508370873499
Región de Aysén del Gral.Ibañez del Campo,2015-07-06,11.013960611980858,9.798941488911904,10.045256215515714,10.114649041710019,27.039770693581758,4.2665299836061275,6.461411669916272,14.20215790610383
Región de Ñuble,2015-05-08,18.336653195229626,11.656153291038349,12.394004601551794,11.843663599765685,27.31543426340536,15.001608442526697,19.06568757783522,15.035927617534627
Región de Aysén del Gral.Ibañez del Campo,2015-06-18,5.720676734636341,5.72675987132315,5.960604047064136,6.205917275802711,27.221320166623425,4.297581306016465,6.507825159139974,14.303126609581154
Región de Aysén del Gral.Ibañez del Campo,2015-05-16,7.474626353882494,6.336242259361832,6.56782200601663,6.9281708380452836,27.054348843226705,4.264555356938978,6.465575308128368,14.22707943544657
Región de Aysén del Gral.Ibañez del Campo,2015-08-27,10.941246705445101,9.866294890158432,10.169236205962507,10.412563963569335,26.343213051084298,4.158949655794725,6.297895315554707,13.841735452329932
Región de Ñuble,2015-07-10,16.222981450323328,11.14743005768549,13.633797258159765,11.355395641500483,27.315434252233008,15.001606013923745,19.065684000149904,15.035925189067987
Región Metropolitana de Santiago,2015-05-20,12.22683756337503,12.308115967924536,12.373575873031301,12.338896257910227,23.430026083842204,14.637392733245452,14.6506049672524,14.648262930627912
Región de Los Lagos,2015-07-06,20.07544375607908,15.015387623866909,16.723107712618074,17.314458472447484,75.43080743420077,10.616821041204968,35.32071030602694,38.699804439334294
Región Metropolitana de Santiago,2015-06-25,12.74842604088015,10.741921762422317,10.83258263702576,10.764919841969796,23.954529409094274,15.016162005171068,15.029748037587932,15.02734173404664
Región de Aysén del Gral.Ibañez del Campo,2015-06-04,6.939205796548997,6.251003047442784,6.4761801764331475,6.819372061035696,27.221320173436805,4.297581306642006,6.507825159765521,14.303126610206698
Región de Aysén del Gral.Ibañez del Campo,2015-06-13,10.278103704703828,10.37415154320987,10.518118660525312,10.654433810272886,27.956158954577745,4.406707192236063,6.68109447483253,14.701315443468603
Región de Aysén del Gral.Ibañez del Campo,2015-06-05,6.50119164764535,6.198232898927805,6.377017713834017,6.526581594864966,27.7143218317565,4.36360795416979,6.616520517107258,14.560235531877787
Región de Aysén del Gral.Ibañez del Campo,2015-05-21,11.945933392877327,11.675456513634954,11.796842253254425,12.117819829494657,26.343212989681067,4.15894962353077,6.297895283290752,13.841735420065966
Región del Maule,2015-07-22,8.93495812660021,5.760348816308108,7.682404732598008,5.98220486938624,12.82326054348249,4.537132197554049,9.251687490485264,5.1392171535456805
Región de Los Lagos,2015-05-28,13.46964335185272,5.276710670848785,8.529764308612307,9.475235215750045,73.49567892814655,10.347618840125865,34.42273320779093,37.71668530769448
Región de Los Lagos,2015-06-28,17.633654298182037,8.612144251218576,12.339833778388146,14.222874056426821,76.2207280960781,10.712055099765193,35.70615006881216,39.118805395806135
Región de Aysén del Gral.Ibañez del Campo,2015-06-15,9.434348868409176,8.241674109843713,8.423241909145583,8.564872069045313,27.908924545134276,4.408213878308486,6.67327976248901,14.662328487637302
Región Metropolitana de Santiago,2015-07-21,12.89550118305491,11.704643004073585,11.7821135722306,11.734847389732078,23.912913910284214,14.927390648847533,14.940850091101746,14.938464963515148
Región de Los Lagos,2015-08-27,16.00831730250231,11.008074104038613,12.686850673904107,13.568947992383634,73.49567893210711,10.347618840613398,34.42273320827845,37.716685308182015
Región de La Araucanía,2015-05-06,12.06614803378669,6.715867895247657,11.118488893260274,8.405093638206983,73.2889901013422,31.450316802284796,63.22219005698491,43.302214279539115
Región del Libertador Bernardo O'Higgins,2015-06-07,6.736619774069028,5.043429633974535,5.728362383646169,5.179616154502728,6.114076632515513,3.7347327086220643,4.421605658482362,3.8821834881875894
Región de Aysén del Gral.Ibañez del Campo,2015-08-31,10.570930817859999,10.455950329982434,10.660667090360546,10.789389879166356,27.039770681871797,4.266529984263748,6.461411670573898,14.202157906761439
Región de Aysén del Gral.Ibañez del Campo,2015-08-11,9.497686868589811,8.204340874327407,8.422636073435298,8.694133207139886,26.95586776570633,4.252544732641699,6.442152086489188,14.164124966670261
Región de Aysén del Gral.Ibañez del Campo,2015-08-07,13.430088244863555,13.29195220828917,13.440588347951792,13.701644739088053,26.82031138963576,4.222846393288937,6.403084354918822,14.090550499988426
Región de Aysén del Gral.Ibañez del Campo,2015-05-30,7.108286915706266,5.555672047348839,6.066984855234632,6.634923464522993,27.054348829690824,4.264555356935195,6.465575308124599,14.227079435442782
Región del Maule,2015-05-29,9.51296757520704,5.3574916651923665,7.3617806823594245,5.656246168947304,12.994017447760887,4.5956268723053455,9.378497106775134,5.206243250712845
Región del Libertador Bernardo O'Higgins,2015-08-24,7.092708598649122,8.069825451645377,8.464648892501955,8.159366888984469,6.055158988415092,3.695810448908738,4.374597384711246,3.8415785352715583
Región de Ñuble,2015-06-10,19.391534543405232,14.438337395627753,17.211441515489366,14.51880133086585,27.840735471318567,15.294627852289917,19.434338350258432,15.329900799557619
