date,region,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote,número de habitantes
2015-07-30,Región de Ñuble,12.145997604716062,8.817163714924789,10.57542091486245,8.971698823904354,26.79280616236378,14.73950503896356,18.7257718259742,14.773787596689097,480609
2015-08-17,Región de La Araucanía,16.210674871879803,13.004008753366602,17.235712651362146,14.47428223646879,74.8317780771866,32.1441688834108,64.58771998508239,44.25087682195748,957224
2015-08-05,Región de Aysén del Gral.Ibañez del Campo,13.54867390121303,11.596279525908185,11.99049996116589,12.048975135845895,26.448995634868716,4.172128203715466,6.321478056453501,13.901387703235898,103158
2015-08-16,Región de La Araucanía,19.477573567802498,14.976734498706424,20.1516124162028,17.169377694936948,73.28102064978077,31.428233221625533,63.19835158471735,43.27667947190015,957224
2015-06-18,Región de Los Lagos,11.293977040176166,5.587402931313436,8.116906138168854,8.53039485713866,75.9455347674477,10.692539472402375,35.57015766996222,38.973908224102864,828708
2015-07-16,Región de Aysén del Gral.Ibañez del Campo,8.526891840870364,7.690993096498043,7.942153057491469,8.323994118702476,26.34321268827317,4.158949653849704,6.2978953136096845,13.841735450384906,103158
2015-08-24,Región de Los Lagos,18.298580455986183,12.428875917900438,14.986251988843016,15.25589510736223,75.43080740103287,10.616821036274441,35.320710301096405,38.69980443440379,828708
2015-07-21,Región de Aysén del Gral.Ibañez del Campo,12.046538194093138,10.910788717540457,11.028889234424241,11.10890194418329,26.955867768367373,4.252544732832273,6.442152086679765,14.164124966860838,103158
2015-07-27,Región de Los Ríos,13.912915747587139,8.707140326475143,11.455443730392993,11.08387208954983,41.60140182224618,12.350250449309023,22.86531113418333,26.318111507455225,384837
2015-08-31,Región del Bío-Bío,15.032144486142483,12.262711792153032,14.591559198289394,12.592766639122706,36.15327796458177,18.196988241825498,25.70133168778432,18.721585058764294,1556805
2015-06-07,Región de Los Lagos,20.131410925680616,12.280545160130245,14.811543734506815,15.821550598225892,76.22072809547096,10.712055101376965,35.70615007042399,39.11880539741791,828708
2015-06-12,Región de La Araucanía,20.08778016817538,13.444461241798898,21.677556020974613,16.512142959711024,76.77954336894348,32.92502915577361,66.22775725661013,45.34281078519595,957224
2015-07-07,Región del Maule,10.04578996241551,6.3363751619741295,8.281081397454068,6.573587529697634,13.064961954887362,4.624316335051805,9.427016361936566,5.237695975816171,1044950
2015-08-07,Región de Aysén del Gral.Ibañez del Campo,13.430088244863553,13.291952208289167,13.440588347951792,13.701644739088051,26.820311389635762,4.222846393288936,6.403084354918823,14.090550499988426,103158
2015-08-12,Región de Aysén del Gral.Ibañez del Campo,8.888409657896139,8.798217191179033,9.006918347411544,9.186618511999583,26.448995621445277,4.17212820197104,6.321478054709083,13.901387701491464,103158
2015-07-20,Región de Los Lagos,16.177728511909763,11.139694587513816,13.034509623914559,13.436827848124581,75.43080743405307,10.616821043610125,35.320710308432076,38.69980444173947,828708
2015-08-22,Región de Los Ríos,18.579052973204877,13.348150979847624,15.701157653235045,16.169707720880332,41.63395134437055,12.359365566787533,22.904403998157548,26.364464535300407,384837
2015-07-14,Región de Los Lagos,19.816548980952224,15.262736827833827,16.762828837222887,17.35863934844404,75.2141198932204,10.580958743670356,35.22490796429463,38.5935084634407,828708
2015-08-30,Región de Aysén del Gral.Ibañez del Campo,12.086408357519904,10.81078418746828,11.045951594105164,11.134240353387375,26.42730576054104,4.167395595279462,6.316578446153639,13.895601234580074,103158
2015-08-29,Región del Libertador Bernardo O'Higgins,6.450458567619582,5.640253383229627,6.125144062745533,5.739835126929943,6.054575776731953,3.6996415107615968,4.3804018724061144,3.8457689049604467,914555
2015-06-03,Región de Aysén del Gral.Ibañez del Campo,8.23188168653897,7.604079505276876,7.8028047080053895,8.193828411839803,27.330628852937267,4.311199145312861,6.532193996356753,14.364767250731184,103158
2015-08-15,Región de Aysén del Gral.Ibañez del Campo,8.34370654158157,7.759846546642795,7.888339730220219,8.142735265520272,26.758857041135354,4.218120972753019,6.394296401232539,14.068238154317072,103158
2015-06-13,Región del Libertador Bernardo O'Higgins,8.73836140106831,7.630882018343914,8.671708558592409,7.852974459124814,6.256394966104535,3.8229625713010065,4.526414482651142,3.973960843984615,914555
2015-06-05,Región del Libertador Bernardo O'Higgins,7.5550791264738075,6.4499631859421,7.180738619045037,6.603497453369233,6.20636637438605,3.7879418870402644,4.4847272527471125,3.937525319833386,914555
2015-06-02,Región de Aysén del Gral.Ibañez del Campo,6.792525138752746,5.679579935612453,6.033670993280583,6.478174606643648,27.85439665675474,4.394296220279511,6.65689048435222,14.63626239163585,103158
2015-05-13,Región de Aysén del Gral.Ibañez del Campo,8.67952988842461,7.445338274805586,7.506861947145575,8.186118649173698,26.448995632295855,4.172128203540011,6.321478056278053,13.901387703060427,103158
2015-05-08,Región de La Araucanía,18.84524872937498,10.739559772298241,14.650244029130137,12.693726894557082,74.30278389884522,31.862931486864262,64.09137806139722,43.88013948999315,957224
2015-07-31,Región de Aysén del Gral.Ibañez del Campo,6.719561806516357,5.562398854326772,5.96076122330024,6.565686848222723,26.820311388424106,4.222846392966072,6.403084354595955,14.090550499665557,103158
2015-07-08,Región de Valparaíso,4.744862268248694,3.347513196664083,3.4766620053471797,3.3662595986984742,4.923572900365333,1.0021567249028491,1.0154564804870356,1.003090665459714,1815902
2015-08-09,Región del Maule,7.50098703416023,5.93944593825575,6.9020983431149885,6.128259075792861,12.819666562581881,4.5328591012166815,9.247350724191856,5.134857592505994,1044950
2015-08-21,Región de Los Lagos,13.59802068033331,7.814363969832014,10.236941441239967,10.85790768867665,74.83744614470736,10.506007000055304,35.040999524055024,38.388365852762846,828708
2015-06-06,Región de Aysén del Gral.Ibañez del Campo,11.230209301481219,10.74338163300558,10.859377165611546,11.008460979816423,27.956160449204557,4.406707193953173,6.6810944765496485,14.701315445185712,103158
2015-05-11,Región de Aysén del Gral.Ibañez del Campo,5.159075830426774,3.79303784220144,2.8816566593610413,4.725420503547576,27.03977069878682,4.266529985719902,6.461411672030051,14.2021579082176,103158
2015-07-25,Región del Maule,7.358715693619153,4.866886861033248,6.387710502121292,5.142771012955219,13.124708190056381,4.639275001180624,9.46770504592902,5.255759697751163,1044950
2015-06-29,Región de Los Ríos,22.67721822815982,14.251663691486995,20.904422147389255,19.49035888548641,42.98811519875812,12.76192541102763,23.627488165941713,27.195381822510026,384837
2015-06-01,Región de Los Ríos,20.32690401863307,9.7405687328946,15.150700852751248,15.995175935377086,42.98811519061762,12.761925407855022,23.62748816276913,27.19538181933742,384837
2015-08-17,Región del Libertador Bernardo O'Higgins,9.145051403890463,7.176191796626062,7.9761767337025455,7.343635987700216,6.05515898560542,3.695810449074459,4.374597384876967,3.841578535437278,914555
2015-07-10,Región de Ñuble,16.222981450323328,11.14743005768549,13.633797258159765,11.355395641500483,27.315434252233004,15.001606013923748,19.0656840001499,15.035925189067989,480609
2015-06-19,Región de Aysén del Gral.Ibañez del Campo,6.337063432183437,5.940350549475982,6.239866733006199,6.727884736232229,27.714321831518646,4.3636079538187005,6.616520516756171,14.56023553152668,103158
